gene,rho,pval,abs_rho
CHIC1,0.018850997061098235,0.022324969924855623,0.018850997061098235
XIAP,0.01883540615997469,0.02243608410902643,0.01883540615997469
EID3,0.01883033262825768,0.022472345985678228,0.01883033262825768
TBC1D2B,-0.018829582659506877,0.022477710530569524,0.018829582659506877
KATNAL1,0.01881405537957534,0.02258902790091149,0.01881405537957534
NT5DC2,0.01880533849105204,0.022651730294988487,0.01880533849105204
FAM219A,0.018701348415852755,0.023411495411754205,0.018701348415852755
C5AR1,-0.018689870405931005,0.02349669540573544,0.018689870405931005
CCNT1,-0.018671711135020894,0.023632039249646547,0.018671711135020894
EIF4E,0.018645046885331733,0.02383199758146665,0.018645046885331733
TGFBR3,-0.01864447546923149,0.023836298709621433,0.01864447546923149
BEST1,-0.018588249828201637,0.024262822673102945,0.018588249828201637
SEMA4B,-0.018563365629032876,0.024453694430415313,0.018563365629032876
ANTXR2,-0.018562263498954745,0.024462178213943607,0.018562263498954745
RRAS2,0.01852807980528919,0.024726580691129905,0.01852807980528919
SPTY2D1,-0.018506033730681118,0.024898411554888367,0.018506033730681118
BBC3,0.01836567526350834,0.026016822352850265,0.01836567526350834
PHF10,-0.018349593489881952,0.026147697484884092,0.018349593489881952
AGAP3,0.018340100617947212,0.026225218210817726,0.018340100617947212
IER5L,0.018284716975742136,0.026681463258977123,0.018284716975742136
TINF2,0.018197642287667782,0.02741263465218324,0.018197642287667782
ZSCAN2,0.01819035495163098,0.027474603323873456,0.01819035495163098
FANCF,0.018186454584266116,0.02750782014774599,0.018186454584266116
KMT2B,-0.018171045376684732,0.027639389038932476,0.018171045376684732
COL9A3,0.018168823258299927,0.027658406918142434,0.018168823258299927
POMT1,0.018114350546670283,0.028128150194025765,0.018114350546670283
WBP1,-0.01811309516996421,0.028139056440142977,0.01811309516996421
IGLL5,0.01810224729021389,0.028233450674170237,0.01810224729021389
MFSD5,0.018093966335816867,0.028305691986650863,0.018093966335816867
LMO7,0.018085302346057246,0.028381445232369296,0.018085302346057246
ST3GAL2,0.017980794182823414,0.02930905442227892,0.017980794182823414
PRF1,-0.017925551718766385,0.029809837296262895,0.017925551718766385
DGCR2,-0.01785194324792868,0.0304885293557176,0.01785194324792868
ADAM17,-0.017845456661704905,0.030548968938405162,0.017845456661704905
L3MBTL3,0.01784130879675386,0.03058767110340893,0.01784130879675386
NFKBID,0.017839794911248364,0.030601807083216255,0.017839794911248364
ZXDC,-0.017836522820909095,0.030632379554135756,0.017836522820909095
